"year","layer","source_url"
2011,"SA1","https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/SA1/MapServer"
2016,"SA1","https://geo.abs.gov.au/arcgis/rest/services/ASGS2016/SA1/MapServer"
2011,"SA2","https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/SA2/MapServer"
2016,"SA2","https://geo.abs.gov.au/arcgis/rest/services/ASGS2016/SA2/MapServer"
2011,"SA3","https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/SA3/MapServer"
2016,"SA3","https://geo.abs.gov.au/arcgis/rest/services/ASGS2016/SA3/MapServer"
2011,"SA4","https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/SA4/MapServer"
2016,"SA4","https://geo.abs.gov.au/arcgis/rest/services/ASGS2016/SA4/MapServer"
2011,"RA","https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/RA/MapServer"
2016,"RA","https://geo.abs.gov.au/arcgis/rest/services/ASGS2016/RA/MapServer"
2011,"NRMR","https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/NRMR/MapServer"
2016,"NRMR","https://geo.abs.gov.au/arcgis/rest/services/ASGS2016/NRMR/MapServer"
2021,"ADD","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/ADD/MapServer"
2021,"AUS","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/AUS/MapServer"
2021,"CED","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/CED/MapServer"
2021,"DZN","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/DZN/MapServer"
2021,"GCCSA","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/GCCSA/MapServer"
2021,"IARE","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/IARE/MapServer"
2021,"ILOC","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/ILOC/MapServer"
2021,"POA","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/POA/MapServer"
2021,"RA","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/RA/MapServer"
2021,"SAL","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SAL/MapServer"
2021,"SED","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SED/MapServer"
2021,"SOS","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SOS/MapServer"
2021,"SOSR","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SOSR/MapServer"
2021,"SUA","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SUA/MapServer"
2021,"TR","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/TR/MapServer"
2021,"UCL","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/UCL/MapServer"
2021,"SA3","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA3/MapServer"
2022,"SED","https://geo.abs.gov.au/arcgis/rest/services/ASGS2022/SED/MapServer"
