"year","variable","source_sheet","source_url","data_item_length","supported","unsupported_reason"
2011,"AGEP","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest",2,TRUE,""
2011,"ANC1P","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest",2,TRUE,""
2011,"ANC2P","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest",2,TRUE,""
2011,"ASSNP","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest",1,TRUE,""
2011,"BEDD","2011 Census Dictionary category table","https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter802011",2,TRUE,""
2011,"BEDRD","Dwelling classifications","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest",1,TRUE,""
2011,"BPFP","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest",1,TRUE,""
2011,"BPLP","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest",2,TRUE,""
2011,"BPMP","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest",1,TRUE,""
2011,"BPPP","2011 Census Dictionary category table","https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter1302011",1,TRUE,""
2011,"C11_PERSON_ID","","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest",,FALSE,"not_enumerated_in_official_source"
2011,"CACF","2011 Census Dictionary category table","https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter1402011",1,TRUE,""
2011,"CDCAF","2011 Census Dictionary category table","https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter1502011",1,TRUE,""
2011,"CDCF","2011 Census Dictionary category table","https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter1602011",2,TRUE,""
2011,"CDEP","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest",1,TRUE,""
2011,"CDSAF","2011 Census Dictionary category table","https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter1702011",1,TRUE,""
2011,"CHCAREP","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest",1,TRUE,""
2011,"CITP","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest",1,TRUE,""
2011,"CNDAF","2011 Census Dictionary category table","https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter2002011",1,TRUE,""
2011,"CNDCF","2011 Census Dictionary category table","https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter2102011",2,TRUE,""
2011,"CPAD","2011 Census Dictionary category table","https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter2202011",1,TRUE,""
2011,"CPAF","2011 Census Dictionary category table","https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter2302011",1,TRUE,""
2011,"CPRF","2011 Census Dictionary category table","https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter2402011",1,TRUE,""
2011,"CTGP","2011 Census Dictionary category table","https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter2502011",1,TRUE,""
2011,"CTPP","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest",1,TRUE,""
2011,"DLOD","2011 Census Dictionary category table","https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter2702011",1,TRUE,""
2011,"DOBMP","","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest",,FALSE,"not_enumerated_in_official_source"
2011,"DOBYP","","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest",,FALSE,"not_enumerated_in_official_source"
2011,"DOMP","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest",1,TRUE,""
2011,"DWELLING_ID","","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest",,FALSE,"not_enumerated_in_official_source"
2011,"DWTD","Dwelling classifications","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest",1,TRUE,""
2011,"EMPP","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest",1,TRUE,""
2011,"EMTP","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest",1,TRUE,""
2011,"ENGLP","2011 Census Dictionary category table","https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter3202011",1,TRUE,""
2011,"ENGP","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest",1,TRUE,""
