year	code	name	state	source_url
2011	10050	Albury (C)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	10110	Armidale Dumaresq (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	10150	Ashfield (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	10200	Auburn (C)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	10250	Ballina (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	10300	Balranald (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	10350	Bankstown (C)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	10470	Bathurst Regional (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	10550	Bega Valley (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	10600	Bellingen (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	10650	Berrigan (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	10750	Blacktown (C)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	10800	Bland (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	10850	Blayney (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	10900	Blue Mountains (C)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	10950	Bogan (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	11000	Bombala (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	11050	Boorowa (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	11100	Botany Bay (C)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	11150	Bourke (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	11200	Brewarrina (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	11250	Broken Hill (C)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	11300	Burwood (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	11350	Byron (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	11400	Cabonne (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	11450	Camden (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	11500	Campbelltown (C)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	11520	Canada Bay (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	11550	Canterbury (C)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	11600	Carrathool (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	11700	Central Darling (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	11720	Cessnock (C)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	11730	Clarence Valley (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	11750	Cobar (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	11800	Coffs Harbour (C)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	11860	Conargo (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	12000	Coolamon (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	12050	Cooma-Monaro (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	12150	Coonamble (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	12200	Cootamundra (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	12300	Corowa Shire (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	12350	Cowra (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	12500	Deniliquin (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	12600	Dubbo (C)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	12700	Dungog (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	12750	Eurobodalla (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	12850	Fairfield (C)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	12900	Forbes (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	12950	Gilgandra (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	13010	Glen Innes Severn (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	13050	Gloucester (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	13100	Gosford (C)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	13310	Goulburn Mulwaree (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	13320	Great Lakes (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	13340	Greater Hume Shire (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	13380	Greater Taree (C)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	13450	Griffith (C)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	13500	Gundagai (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	13550	Gunnedah (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	13650	Guyra (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	13660	Gwydir (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	13700	Harden (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	13800	Hawkesbury (C)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	13850	Hay (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	13950	Holroyd (C)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	14000	Hornsby (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	14100	Hunters Hill (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	14150	Hurstville (C)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	14200	Inverell (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	14250	Jerilderie (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	14300	Junee (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	14350	Kempsey (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	14400	Kiama (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	14450	Kogarah (C)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	14500	Ku-ring-gai (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	14550	Kyogle (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	14600	Lachlan (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	14650	Lake Macquarie (C)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	14700	Lane Cove (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	14750	Leeton (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	14800	Leichhardt (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	14850	Lismore (C)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	14870	Lithgow (C)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	14900	Liverpool (C)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	14920	Liverpool Plains (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	14950	Lockhart (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	15050	Maitland (C)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	15150	Manly (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	15200	Marrickville (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
2011	15270	Mid-Western Regional (A)	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/LGA/MapServer
